id,User-ID,ISBN,Book-Rating
1,276725,034545104X,0
2,276726,155061224,5
3,276727,446520802,0
4,276729,052165615X,3
5,276729,521795028,6
6,276733,2080674722,0
7,276736,3257224281,8
8,276737,600570967,6
9,276744,038550120X,7
10,276745,342310538,10
11,276746,425115801,0
12,276746,449006522,0
13,276746,553561618,0
14,276746,055356451X,0
15,276746,786013990,0
16,276746,786014512,0
17,276747,60517794,9
18,276747,451192001,0
19,276747,609801279,0
20,276747,671537458,9
21,276747,679776818,8
22,276747,943066433,7
23,276747,1570231028,0
24,276747,1885408226,7
25,276748,747558167,6
26,276748,3442437407,0
27,276751,033390804X,0
28,276751,3596218098,8
29,276754,684867621,8
30,276755,451166892,5
31,276760,8440682697,10
32,276762,034544003X,0
33,276762,380000059,0
34,276762,380711524,5
35,276762,451167317,0
36,276762,451454952,0
37,276762,843920262,0
38,276762,3404122879,0
39,276762,3404182928,0
40,276762,3404611306,0
41,276762,342662429,0
42,276762,3426690179,0
43,276762,3442424216,0
44,276762,3442425573,0
45,276762,3453092007,8
46,276762,3453157745,0
47,276762,3453176944,0
48,276762,3453185137,0
49,276762,3453185323,0
50,276762,3453213025,3
51,276762,3453877241,0
52,276762,3492226604,0
53,276762,3517017442,0
54,276762,3596125006,0
55,276762,B0000BLD7X,0
56,276762,N3453124715,4
57,276765,9029716894,0
58,276768,9057868059,4
59,276772,140279091,0
60,276772,553572369,7
61,276772,571058086,0
62,276772,3499230933,10
63,276772,3596151465,10
64,276774,99543818,0
65,276774,3404147723,0
66,276774,3423111321,0
67,276774,3442136644,9
68,276774,3492232000,0
69,276780,8434811634,0
70,276780,8484330478,7
71,276780,8484332039,7
72,276786,2864322102,6
73,276786,8402065945,0
74,276786,8423314901,0
75,276786,842333533X,0
76,276786,8427911769,0
77,276786,8433914456,0
78,276786,8437606322,8
79,276786,8445072919,0
80,276786,8466300821,6
81,276786,847765011X,0
82,276786,8478442588,6
83,276786,8495368099,0
84,276788,345443683,8
85,276788,043935806X,7
86,276788,055310666X,10
87,276796,330332775,5
88,276796,330367358,0
89,276798,6379702,5
90,276798,3423084049,0
91,276798,3442131340,7
92,276798,3442437407,0
93,276798,3446202102,0
94,276798,3453073398,0
95,276798,3453115783,0
96,276798,3499134004,0
97,276798,349915398X,0
98,276798,3548603203,6
99,276798,3764501383,0
100,276798,3791535889,0
101,276800,61054143,0
102,276800,61054151,0
103,276800,61056774,0
104,276800,671021346,0
105,276800,671024108,0
106,276800,1562827898,7
107,276803,9726954835,0
108,276804,64405176,0
109,276804,439104769,0
110,276804,440498058,8
